_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
2309291,2022-03-10,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,11812,Seaton House - Annex Harm Reduction & Managed Alcohol Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,51,Bed Based Capacity,51.0,51.0,51.0,0.0,0.0,,,,,,100.0,
2309292,2022-03-10,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,15051,Seaton House - Fourth Floor Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,71,Bed Based Capacity,73.0,81.0,71.0,2.0,8.0,,,,,,97.26,
2309293,2022-03-10,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,11811,Seaton House - Hostel Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,66,Bed Based Capacity,66.0,66.0,66.0,0.0,0.0,,,,,,100.0,
2309294,2022-03-10,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,15191,Seaton House - Infirmary Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,19,Bed Based Capacity,22.0,22.0,19.0,3.0,0.0,,,,,,86.36,
2309295,2022-03-10,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,14371,Seaton House - O'Neill Harm Reduction Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,10,Bed Based Capacity,10.0,10.0,10.0,0.0,0.0,,,,,,100.0,
2309296,2022-03-10,1,City of Toronto,3,Seaton House,1190.0,SSHA Downtown Response Program,76 Church St,M5C 2G1,Toronto,ON,15751,Seaton House Hostel Response Program,Men,Emergency,Shelter,COVID-19 Response,50,Bed Based Capacity,50.0,55.0,50.0,0.0,5.0,,,,,,100.0,
2309297,2022-03-10,1,City of Toronto,6,Streets To Homes,1004.0,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,ON,16171,Streets to Homes - 129 Peter Street - Warming Centre,Mixed Adult,Emergency,Warming Centre,Winter Programs,13,Bed Based Capacity,14.0,19.0,13.0,1.0,5.0,,,,,,92.86,
2309298,2022-03-10,1,City of Toronto,6,Streets To Homes,1004.0,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,ON,12952,Streets to Homes Bedded Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,12,Bed Based Capacity,13.0,27.0,12.0,1.0,14.0,,,,,,92.31,
2309299,2022-03-10,1,City of Toronto,4,Women's Residence,1124.0,SSHA Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,Toronto,ON,14631,SSHA Downtown Hotel Women's Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,71,Room Based Capacity,,,,,,65.0,71.0,65.0,0.0,6.0,,100.0
2309300,2022-03-10,1,City of Toronto,4,Women's Residence,1005.0,SSHA Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,ON,12471,Women's Residence Extreme Weather Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,4,Bed Based Capacity,4.0,9.0,4.0,0.0,5.0,,,,,,100.0,
